Institute,Quota,Gender,Year,Academic_Program_Name,Closing_Rank,Opening_Rank,Seat_Type
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Chemistry (5 Years, Integrated Master of Science)",1201P,1201P,ST
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Computer Science and Engineering (4 Years, Bachelor of Technology)",205,152,SC
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Chemical Engineering (4 Years, Bachelor of Technology)",4386,3776,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Chemical Engineering (4 Years, Bachelor of Technology)",942,942,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",97,68,EWS
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Economics (5 Years, Integrated Master of Science)",2573,2573,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Chemical Engineering (4 Years, Bachelor of Technology)",635,424,ST
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Electrical Engineering (4 Years, Bachelor of Technology)",413,388,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Computer Science and Engineering (4 Years, Bachelor of Technology)",20,6,OPEN (PwD)
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",54,54,OPEN (PwD)
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",3929,2410,OPEN
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",102P,102P,ST
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",480,309,SC
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",130,130,SC
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2661,2661,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Mining Engineering (4 Years, Bachelor of Technology)",1519,1238,EWS
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",824,504,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Exploration Geophysics (5 Years, Integrated Master of Science)",380P,380P,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1984,1938,EWS
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",3777,2654,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",4592,4181,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",1587,1029,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",1781,1590,EWS
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",6376,5447,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",9078,8040,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",2067,1883,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Physics (5 Years, Integrated Master of Science)",7795,2014,OPEN
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",2924,2924,SC
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Physics (5 Years, Integrated Master of Science)",2443,2443,EWS
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Quality Engineering Design and Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",5431,5431,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Mining Engineering (4 Years, Bachelor of Technology)",7198,6706,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1794,1544,EWS
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Artificial Intelligence (4 Years, Bachelor of Technology)",279,279,EWS
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Electrical Engineering (4 Years, Bachelor of Technology)",1910,1013,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",461P,187P,ST
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",2801,2801,SC
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Electrical Engineering (4 Years, Bachelor of Technology)",829,829,EWS
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Engineering Science (4 Years, Bachelor of Technology)",3881,2881,OPEN
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Artificial Intelligence (4 Years, Bachelor of Technology)",306,180,SC
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Artificial Intelligence (4 Years, Bachelor of Technology)",248,248,SC
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Engineering Science (4 Years, Bachelor of Technology)",1841,1841,SC
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Mechanical Engineering (4 Years, Bachelor of Technology)",996,669,SC
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Chemical Engineering (4 Years, Bachelor of Technology)",1991,1991,EWS
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Chemical Engineering (4 Years, Bachelor of Technology)",775,695,ST
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Civil Engineering (4 Years, Bachelor of Technology)",436,383,ST
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1382,456,OPEN
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Computer Science and Engineering (4 Years, Bachelor of Technology)",69P,69P,OBC-NCL (PwD)
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Electrical Engineering (4 Years, Bachelor of Technology)",299,299,ST
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Mathematics and Computing (4 Years, Bachelor of Technology)",40,40,OBC-NCL (PwD)
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Mechanical Engineering (4 Years, Bachelor of Technology)",8784,7805,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Aerospace Engineering (4 Years, Bachelor of Technology)",1075,932,SC
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",2828,2828,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Applied Geology (5 Years, Integrated Master of Science)",2308,2197,EWS
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Applied Geology (5 Years, Integrated Master of Science)",1207P,1207P,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",260P,217P,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",4325,3717,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Chemical Engineering (4 Years, Bachelor of Technology)",1412,667,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Chemical Engineering (4 Years, Bachelor of Technology)",2018,1453,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",800P,800P,ST
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",9454,9127,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Civil Engineering (4 Years, Bachelor of Technology)",1163,744,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",2858,2525,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Computer Science and Engineering (4 Years, Bachelor of Technology)",9,9,OBC-NCL (PwD)
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Computer Science and Engineering (4 Years, Bachelor of Technology)",50,36,ST
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1378,1204,OPEN
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1053,723,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Electrical Engineering (4 Years, Bachelor of Technology)",812,812,EWS
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Electrical Engineering (4 Years, Bachelor of Technology)",37,37,OBC-NCL (PwD)
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",4176,3877,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",1925,1886,SC
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",5961,5961,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Mathematics and Computing (5 Years, Integrated Master of Science)",77,77,OPEN (PwD)
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Mathematics and Computing (5 Years, Integrated Master of Science)",208P,208P,OPEN (PwD)
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Mechanical Engineering (4 Years, Bachelor of Technology)",1454,1352,EWS
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Mechanical Engineering (4 Years, Bachelor of Technology)",1266,764,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",3316,3316,SC
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",3610,3610,EWS
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",3611,2696,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Quality Engineering Design and Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",3228,2876,OBC-NCL
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Biomedical Engineering (4 Years, Bachelor of Technology)",133,133,OPEN (PwD)
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Biomedical Engineering (4 Years, Bachelor of Technology)",2284,2089,SC
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Chemical Engineering (4 Years, Bachelor of Technology)",1668,1365,SC
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Civil Engineering (4 Years, Bachelor of Technology)",1885,963,SC
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Computer Science and Engineering (4 Years, Bachelor of Technology)",228,99,OBC-NCL
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Electrical Engineering (4 Years, Bachelor of Technology)",61,61,OPEN (PwD)
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Engineering Physics (4 Years, Bachelor of Technology)",4418,2170,OPEN
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Mathematics and Computing (4 Years, Bachelor of Technology)",742,742,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Aerospace Engineering (4 Years, Bachelor of Technology)",86P,86P,OBC-NCL (PwD)
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",906,900,EWS
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Chemistry (5 Years, Integrated Master of Science)",2978,2808,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Civil Engineering (4 Years, Bachelor of Technology)",1080,931,EWS
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Civil Engineering (4 Years, Bachelor of Technology)",1855,1833,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Computer Science and Engineering (4 Years, Bachelor of Technology)",293,180,OPEN
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",1425,1179,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Exploration Geophysics (5 Years, Integrated Master of Science)",1326P,1326P,ST
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Instrumentation Engineering (4 Years, Bachelor of Technology)",5944,3942,OPEN
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Instrumentation Engineering (4 Years, Bachelor of Technology)",1291,1291,SC
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",12393,11245,OPEN
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Mathematics and Computing (5 Years, Integrated Master of Science)",921,806,SC
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Mining Engineering (4 Years, Bachelor of Technology)",3551,3551,EWS
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",7983,5457,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Quality Engineering Design and Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",1390,1156,EWS
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Biomedical Engineering (4 Years, Bachelor of Technology)",803P,895,ST
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Civil Engineering (4 Years, Bachelor of Technology)",5224,4549,OBC-NCL
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Engineering Physics (4 Years, Bachelor of Technology)",2668,2668,EWS
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Engineering Physics (4 Years, Bachelor of Technology)",2052,1556,SC
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Mechanical Engineering (4 Years, Bachelor of Technology)",1712,1051,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",10984,6397,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Aerospace Engineering (4 Years, Bachelor of Technology)",752,676,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Aerospace Engineering (4 Years, Bachelor of Technology)",4328,2572,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",1790,1190,EWS
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",8247,7039,OPEN
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",2851,2851,SC
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Applied Geology (5 Years, Integrated Master of Science)",18803,16849,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Architecture (5 Years, Bachelor of Architecture)",16727,10896,OPEN
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Chemical Engineering (4 Years, Bachelor of Technology)",1562,1562,EWS
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Chemistry (5 Years, Integrated Master of Science)",17511,15587,OPEN
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Chemistry (5 Years, Integrated Master of Science)",8594,7708,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Chemistry (5 Years, Integrated Master of Science)",744P,744P,SC
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",12501,10932,OPEN
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",176,176,EWS
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",489,489,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Electrical Engineering (4 Years, Bachelor of Technology)",391,314,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",1923,1645,OPEN
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",805,805,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",92,53,OPEN (PwD)
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",298,117,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",2169,1494,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",10105,9609,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",1767,1549,SC
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",783P,783P,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Mechanical Engineering (4 Years, Bachelor of Technology)",51P,124,OPEN (PwD)
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Mechanical Engineering (4 Years, Bachelor of Technology)",3460,2308,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Mechanical Engineering (4 Years, Bachelor of Technology)",57P,57P,OBC-NCL (PwD)
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",5073,3865,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",241P,180P,ST
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",17883,15333,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",515P,515P,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Physics (5 Years, Integrated Master of Science)",888P,193P,ST
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Civil Engineering (4 Years, Bachelor of Technology)",7388,5938,OPEN
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Civil Engineering (4 Years, Bachelor of Technology)",97P,97P,OPEN (PwD)
Indian Institute of Technology Jodhpur,AI,Gender-Neutral,2020,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",3335,2201,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1386,1067,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",352P,41P,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",2034,1821,EWS
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Architecture (5 Years, Bachelor of Architecture)",15926,14378,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",1567,1485,EWS
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",12891,12219,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",671P,451P,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Chemical Engineering (4 Years, Bachelor of Technology)",708,594,EWS
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1101,1041,EWS
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Chemistry (5 Years, Integrated Master of Science)",11415,7134,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Chemistry (5 Years, Integrated Master of Science)",5328,4162,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Civil Engineering (4 Years, Bachelor of Technology)",5833,3286,OPEN
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Civil Engineering (4 Years, Bachelor of Technology)",11231,9369,OPEN
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Civil Engineering (4 Years, Bachelor of Technology)",2351,2351,EWS
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Civil Engineering (4 Years, Bachelor of Technology)",537,537,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",348,292,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",350,294,EWS
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Instrumentation Engineering (4 Years, Bachelor of Technology)",2447,1679,OPEN
Indian Institute of Technology Kharagpur,AI,Female-only (including Supernumerary),2020,"Instrumentation Engineering (4 Years, Bachelor of Technology)",3531,3378,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",5489,3933,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Mathematics and Computing (5 Years, Integrated Master of Science)",310,222,EWS
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",1886,1248,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",6001,4193,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Physics (5 Years, Integrated Master of Science)",2609,1492,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Quality Engineering Design and Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",2140,1911,SC
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Artificial Intelligence (4 Years, Bachelor of Technology)",143,137,EWS
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Chemical Engineering (4 Years, Bachelor of Technology)",9030,8276,OPEN
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Computer Science and Engineering (4 Years, Bachelor of Technology)",9,9,EWS (PwD)
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Electrical Engineering (4 Years, Bachelor of Technology)",3962,3005,OPEN
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Engineering Physics (4 Years, Bachelor of Technology)",1029,966,EWS
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",7886,5867,OPEN
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",12683,12064,OPEN
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",2058,1740,SC
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",936,929,ST
Indian Institute of Technology Hyderabad,AI,Gender-Neutral,2020,"Mathematics and Computing (4 Years, Bachelor of Technology)",925,601,OPEN
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Mathematics and Computing (4 Years, Bachelor of Technology)",2072,2007,OPEN
Indian Institute of Technology Hyderabad,AI,Female-only (including Supernumerary),2020,"Mechanical Engineering (4 Years, Bachelor of Technology)",4218,3390,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Aerospace Engineering (4 Years, Bachelor of Technology)",835,743,EWS
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2020,"Aerospace Engineering (4 Years, Bachelor of Technology)",2039,1646,OBC-NCL
