Institute,Quota,Gender,Year,Academic_Program_Name,Closing_Rank,Opening_Rank,Seat_Type
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",34,25,OBC-NCL (PwD)
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",404,338,ST
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",5,5,OPEN (PwD)
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",669,324,SC
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",46,40,ST
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",2240,1684,OBC-NCL
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",77,3,ST
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",989,791,SC
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",278,133,SC
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",473,356,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",804,590,ST
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",90,90,OPEN (PwD)
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",862,704,ST
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",702,395,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",146,146,OPEN (PwD)
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mathematics and Computing (4 Years, Bachelor of Technology)",397,250,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",389,284,OPEN
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",477,390,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Economics (5 Years, Integrated Master of Science)",4128,2779,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Aerospace Engineering (4 Years, Bachelor of Technology)",1508,1223,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Applied Geology (5 Years, Integrated Master of Science)",1994,1805,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",1456,752,SC
